Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,Temperature (C) 9am,Relative humidity (%) 9am,Cloud amount (oktas) 9am,Wind direction 9am,Wind speed (km/h) 9am,MSL pressure (hPa) 9am,Temperature (C) 3pm,Relative humidity (%) 3pm,Cloud amount (oktas) 3pm,Wind direction 3pm,Wind speed (km/h) 3pm,MSL pressure (hPa) 3pm,Rainfall Tomorrow (mm),Rain Tomorrow,Season,Temperature delta,Relative humidity delta,Cloud amount delta,Wind speed delta,MSL pressure delta,Temperature range,Rain Tomorrow Type
2017-05-5,2.3,19.1,0.0,NNW,30.0,874.0,9.4,92,6.0,CALM,0,1032.0,17.6,51.0,2.0,NNW,19,1027.7,0.2,True,AUTUMN,-8.2,41.0,4.0,-19,4.3,16.8,LOW
2017-05-14,7.0,15.9,0.0,NW,30.0,729.0,12.7,81,8.0,SE,11,1023.8,13.3,82.0,8.0,SE,11,1020.7,0.6,True,AUTUMN,-0.6,-1.0,0.0,0,3.1,8.9,LOW
2017-05-19,9.8,15.9,0.0,E,37.0,80.0,13.9,78,7.0,E,13,1026.0,14.6,87.0,8.0,E,9,1021.3,31.2,True,AUTUMN,-0.7,-9.0,-1.0,4,4.7,6.1,HIGH
2017-05-20,8.8,17.8,31.2,SE,33.0,339.0,11.3,93,5.0,N,4,1019.8,16.3,63.0,1.0,NW,17,1017.2,0.2,True,AUTUMN,-5.0,30.0,4.0,-13,2.6,9.0,LOW
2017-05-23,1.1,17.6,0.0,NW,39.0,962.0,5.6,99,8.0,CALM,0,1023.4,16.2,63.0,0.0,N,26,1018.1,1.8,True,AUTUMN,-10.6,36.0,8.0,-26,5.3,16.5,LOW
2017-05-27,0.7,16.0,0.0,NW,30.0,833.0,8.4,98,7.0,CALM,0,1022.6,15.2,59.0,0.0,NW,15,1017.9,0.2,True,AUTUMN,-6.8,39.0,7.0,-15,4.7,15.3,LOW
2017-06-3,-4.2,15.4,0.0,W,19.0,849.0,5.4,82,0.0,CALM,0,1033.9,14.5,51.0,1.0,NNW,13,1030.6,0.2,True,WINTER,-9.1,31.0,-1.0,-13,3.3,19.6,LOW
2017-06-5,-3.8,12.7,0.0,NNW,24.0,916.0,1.4,96,0.0,CALM,0,1026.8,12.5,55.0,0.0,NNW,15,1022.8,0.2,True,WINTER,-11.1,41.0,0.0,-15,4.0,16.5,LOW
2017-06-8,5.7,17.2,0.0,SSE,22.0,2.0,10.2,78,6.0,SSE,9,1028.3,16.4,51.0,0.0,NW,11,1025.4,0.4,True,WINTER,-6.2,27.0,6.0,-2,2.9,11.5,LOW
2017-06-11,-0.1,16.0,0.0,E,17.0,1252.0,4.4,99,8.0,SSE,7,1031.8,15.3,63.0,0.0,WSW,7,1026.8,0.2,True,WINTER,-10.9,36.0,8.0,0,5.0,16.1,LOW
