Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Temperature (C) 9am,Relative humidity (%) 9am,Cloud amount (oktas) 9am,Wind direction 9am,Wind speed (km/h) 9am,MSL pressure (hPa) 9am,Temperature (C) 3pm,Relative humidity (%) 3pm,Cloud amount (oktas) 3pm,Wind direction 3pm,Wind speed (km/h) 3pm,MSL pressure (hPa) 3pm,Season,Temperature delta,Relative humidity delta,Cloud amount delta,Wind speed delta,MSL pressure delta,Temperature range,IGNORE Rainfall Tomorrow (mm),TARGET Rain Tomorrow,IGNORE Rain Tomorrow Intensity,TARGET Moderate UP,WEIGHT Rain Tomorrow,WEIGHT Moderate UP
2017-05-1,1.5,19.9,0.0,8.5,90,2.0,CALM,0,1018.4,18.6,52.0,2.0,NW,24,1015.5,AUTUMN,-10.1,38.0,0.0,-24,2.9,18.4,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-2,5.2,16.0,0.0,10.9,80,4.0,CALM,0,1018.7,14.7,65.0,8.0,NW,24,1017.8,AUTUMN,-3.8,15.0,-4.0,-24,0.9,10.8,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-3,0.6,16.7,0.0,8.0,62,0.0,SSE,20,1029.3,14.3,43.0,7.0,ENE,13,1027.6,AUTUMN,-6.3,19.0,-7.0,7,1.7,16.1,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-4,-0.1,17.6,0.0,7.9,73,0.0,SSE,6,1032.8,16.2,46.0,3.0,NNE,11,1029.3,AUTUMN,-8.3,27.0,-3.0,-5,3.5,17.7,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-5,2.3,19.1,0.0,9.4,92,6.0,CALM,0,1032.0,17.6,51.0,2.0,NNW,19,1027.7,AUTUMN,-8.2,41.0,4.0,-19,4.3,16.8,0.2,True,LIGHT,False,0.006234054810303679,0.0003015371981420176
2017-05-6,1.8,17.3,0.2,7.9,98,7.0,SSW,7,1025.5,16.8,70.0,5.0,NW,26,1021.6,AUTUMN,-8.9,28.0,2.0,-19,3.9,15.5,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-7,4.2,15.2,0.0,10.4,45,0.0,WNW,17,1025.5,14.2,46.0,0.0,N,20,1024.3,AUTUMN,-3.8,-1.0,0.0,-3,1.2,11.0,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-8,-4.4,15.2,0.0,7.6,64,0.0,SSE,6,1029.4,13.7,45.0,4.0,ESE,13,1026.3,AUTUMN,-6.1,19.0,-4.0,-7,3.1,19.6,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-9,-1.0,17.7,0.0,9.2,68,0.0,ESE,6,1028.5,16.9,33.0,0.0,SE,6,1024.4,AUTUMN,-7.7,35.0,0.0,0,4.1,18.7,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-10,-2.0,18.5,0.0,7.1,81,0.0,ESE,6,1026.8,17.2,39.0,0.0,NW,4,1022.8,AUTUMN,-10.1,42.0,0.0,2,4.0,20.5,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-11,-1.7,18.8,0.0,6.8,76,0.0,CALM,0,1026.2,17.3,37.0,0.0,WNW,9,1023.7,AUTUMN,-10.5,39.0,0.0,-9,2.5,20.5,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-12,-0.6,16.2,0.0,5.8,91,8.0,SSE,9,1029.1,15.8,52.0,8.0,W,7,1024.8,AUTUMN,-10.0,39.0,0.0,2,4.3,16.8,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-13,3.4,18.9,0.0,9.2,85,1.0,CALM,0,1025.5,18.6,38.0,0.0,NNE,9,1022.1,AUTUMN,-9.4,47.0,1.0,-9,3.4,15.5,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-14,7.0,15.9,0.0,12.7,81,8.0,SE,11,1023.8,13.3,82.0,8.0,SE,11,1020.7,AUTUMN,-0.6,-1.0,0.0,0,3.1,8.9,0.6,True,LIGHT,False,0.006234054810303679,0.0003015371981420176
2017-05-15,3.3,17.1,0.6,7.4,99,1.0,CALM,0,1019.9,16.5,45.0,0.0,S,22,1016.3,AUTUMN,-9.1,54.0,1.0,-22,3.6,13.8,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-16,0.3,16.8,0.0,7.9,77,0.0,N,4,1019.6,16.4,48.0,0.0,W,9,1017.3,AUTUMN,-8.5,29.0,0.0,-5,2.3,16.5,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-17,-1.0,16.8,0.0,4.7,96,0.0,N,7,1023.9,16.1,49.0,0.0,WSW,9,1021.4,AUTUMN,-11.4,47.0,0.0,-2,2.5,17.8,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-18,4.6,19.1,0.0,11.4,79,1.0,CALM,0,1027.7,18.3,51.0,0.0,ENE,19,1024.7,AUTUMN,-6.9,28.0,1.0,-19,3.0,14.5,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-19,9.8,15.9,0.0,13.9,78,7.0,E,13,1026.0,14.6,87.0,8.0,E,9,1021.3,AUTUMN,-0.7,-9.0,-1.0,4,4.7,6.1,31.2,True,HEAVY,True,0.006234054810303679,0.018889960899812114
2017-05-20,8.8,17.8,31.2,11.3,93,5.0,N,4,1019.8,16.3,63.0,1.0,NW,17,1017.2,AUTUMN,-5.0,30.0,4.0,-13,2.6,9.0,0.2,True,LIGHT,False,0.006234054810303679,0.0003015371981420176
2017-05-21,0.7,17.2,0.2,5.6,99,4.0,CALM,0,1023.2,16.3,48.0,0.0,N,11,1020.9,AUTUMN,-10.7,51.0,4.0,-11,2.3,16.5,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-22,0.2,18.1,0.0,7.3,87,0.0,SSE,6,1026.1,17.6,44.0,0.0,WSW,11,1022.1,AUTUMN,-10.3,43.0,0.0,-5,4.0,17.9,0.0,False,NONE,False,0.0009136951881345652,0.0003015371981420176
2017-05-23,1.1,17.6,0.0,5.6,99,8.0,CALM,0,1023.4,16.2,63.0,0.0,N,26,1018.1,AUTUMN,-10.6,36.0,8.0,-26,5.3,16.5,1.8,True,LIGHT,False,0.006234054810303679,0.0003015371981420176
